"level","jurisdiction","dependency","organization","updated","wms_url","wfs_url","wcs_url","csw_url"
"Nacional","","Jefatura de Gabinete de Ministros","Administración de Parques Nacionales (APN) - Sistema de Información de Biodiversidad","12/08/26","https://mapas.apn.gob.ar/geoserver/ows?service=WMS&version=1.3.0&request=GetCapabilities","https://mapas.apn.gob.ar/geoserver/ows?service=WFS&version=1.1.0&request=GetCapabilities","","https://mapas.apn.gob.ar/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities"
"Nacional","","Ministerio de Economía, Ministerio de Capital Humano , Ministerio de Defensa","BAHRA","","https://wms.ign.gob.ar/geoserver/idera/bahra/ows?service=WFS&version=1.1.0&request=GetCapabilities","https://wms.ign.gob.ar/geoserver/idera/bahra/ows?service=wms&version=1.3.0&request=GetCapabilities","",""
"Nacional","","Jefatura de Gabinete de Ministros","Comisión Nacional de Actividades Espaciales (CONAE) / Imágenes satelitales- Mosaico Alta Resolución","","https://geotematico01.conae.gov.ar/geoserver/wms","https://geotematico01.conae.gov.ar/geoserver/wfs","",""
"Nacional","","Jefatura de Gabinete de Ministros","Comisión Nacional de Actividades Espaciales (CONAE) / Riesgo epidemiológico - Riesgo ambiental","","https://geoservicios.conae.gov.ar/geoserver/HAPN/wms","https://geoservicios.conae.gov.ar/geoserver/HAPN/wfs","",""
"Nacional","","Jefatura de Gabinete de Ministros","Comisión Nacional de Actividades Espaciales (CONAE) / Suelos -Focos de calor","","https://geoservicios.conae.gov.ar/geoserver/GeoServiciosCONAE/wms","https://geoservicios.conae.gov.ar/geoserver/GeoServiciosCONAE/wfs","",""
"Nacional","","Ministerio de Economía","Dirección Nacional de Desarrollo Foresto Industrial (SAGyP)","","https://geoforestal.magyp.gob.ar/geoserver/ows?service=wms&version=1.3.0&request=GetCapabilities","","",""
"Nacional","","Ministerio del Interior","Dirección Nacional de Población (RENAPER)","","https://poblacion.idear.gov.ar/geoserver/wms","https://poblacion.idear.gov.ar/geoserver/wfs","","https://poblacion.idear.gov.ar/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities"
"Nacional","","Ministerio de Defensa","Gestión Integral de Riesgo de Desastres (IGN)","11/05/26","https://wms.ign.gob.ar/geoserver/ign_riesgo/ows?service=wms&version=1.3.0&request=GetCapabilities","https://wms.ign.gob.ar/geoserver/ign_riesgo/ows?service=wfs&version=1.3.0&request=GetCapabilities","",""
"Nacional","","Ministerio de Defensa","Instituto Geográfico Nacional (IGN)","10/04/26","https://wms.ign.gob.ar/geoserver/ows?service=wms&version=1.3.0&request=GetCapabilities","https://wms.ign.gob.ar/geoserver/ows?service=wfs&version=1.1.0&request=GetCapabilities","",""
"Nacional","","Ministerio de Economía","Instituto Nacional de Estadística y Censos (INDEC)","","https://geonode.indec.gob.ar/geoserver/wms","https://geonode.indec.gob.ar/geoserver/geonode/wfs","",""
"Nacional","","Ministerio de Economía","Instituto Nacional de Tecnología Agropecuaria (INTA)","","https://geo-backend.inta.gob.ar/geoserver/ows?service=wms&version=1.3.0","https://geo-backend.inta.gob.ar/geoserver/ows?service=wms&version=1.3.0","",""
"Nacional","","Ministerio de Economía","Instituto Nacional del Agua (INA)","","https://alerta.ina.gob.ar/geoserver/ows?service=WMS&version=1.3.0&request=GetCapabilities","https://alerta.ina.gob.ar/geoserver/ows?service=wfs&version=2.0.0","https://alerta.ina.gob.ar/geoserver/ows?service=WCS&acceptversions=2.0.1&request=GetCapabilities",""
"Nacional","","Ministerio de Economía","INTA-Centro de Investigación de Recursos Naturales","","https://geo-nodo05.inta.gob.ar/geoserver/wms","https://geo-nodo05.inta.gob.ar/geoserver/wfs","",""
"Nacional","","Ministerio de Economía","INTA-Región  Buenos Aires","","https://geo-nodo07.inta.gob.ar/geoserver/wms","https://geo-nodo07.inta.gob.ar/geoserver/wfs","",""
"Nacional","","Ministerio de Economía","INTA-Región  Córdoba","","https://geo-nodo08.inta.gob.ar/geoserver/wms","https://geo-nodo08.inta.gob.ar/geoserver/wfs","",""
"Nacional","","Ministerio de Economía","INTA-Región  Entre Ríos","","https://geo-nodo03.inta.gob.ar/geoserver/wms","https://geo-nodo03.inta.gob.ar/geoserver/wfs","",""
"Nacional","","Ministerio de Economía","INTA-Región Catamarca - La Rioja","","https://geo-nodo11.inta.gob.ar/geoserver/wms","https://geo-nodo11.inta.gob.ar/geoserver/wfs","",""
